resume_text,jd_text,label
"Python SQL stored procedures","Need SQL stored procedures",1
"Python MongoDB NoSQL","Need MongoDB developer",1
"Python PostgreSQL database","Need PostgreSQL developer",1
"Python data visualization matplotlib","Need visualization matplotlib",1
"Python ML feature selection","Need feature selection ML",1
"Python NLP named entity recognition","Need NER NLP engineer",1
"Python NLP keyword extraction","Need keyword extraction NLP",1
"Python resume parser project","Need resume parsing NLP system",1
"Python basic web development","Need advanced ML engineer",0
"Python scikit-learn pipelines","Need ML pipelines scikit-learn",1
"Python classification imbalance handling","Need imbalance handling class weights",1
"Python random forest model tuning","Need hyperparameter tuning random forest",1
"Python grid search cross validation","Need cross validation grid search",1
"Python beginner SQL","Need senior data engineer Spark",0
"Python SQL joins aggregation","Need SQL aggregation joins",1
"Python Excel data cleaning","Need Excel cleaning analyst",1
"Python Power BI dashboards","Need Power BI dashboard developer",1
"Python Tableau visualization","Need Tableau visualization developer",1
"Python cloud AWS basics","Need AWS cloud engineer",1
"Python Azure cloud basics","Need Azure cloud engineer",1
"Python GCP cloud basics","Need GCP cloud engineer",1
"Python Docker containerization","Need Docker containerization",1
"Python Kubernetes orchestration","Need Kubernetes orchestration",1
"Python DevOps automation","Need DevOps engineer Jenkins Docker",0
"Python NLP topic modeling LDA","Need topic modeling LDA",1
"Python NLP text classification","Need text classification NLP",1
"Python email spam detection NLP","Need spam detection NLP",1
"Python OCR text extraction","Need OCR text extraction",1
"Python PDF parsing resume extraction","Need resume PDF parsing",1
"Python regex parsing","Need regex parsing text",1
"Python backend + SQL","Need frontend React",0
"Python ML internship experience","Need ML intern Python",1
"Python Flask internship project","Need Flask intern Python",1
"Python SQL internship project","Need SQL intern",1
"Java internship project","Need Python intern",0
"Python machine learning capstone project","Need final year ML project",1
"Python NLP final year project","Need final year NLP project",1
"Python cloud deployment final year","Need final year deployment project",1
"Python basic coding","Need deep learning research engineer",0
"Python Java both","Need Java developer",1
"Python Java both","Need Python developer",1
"Python React full stack","Need full stack React Python",1
"React frontend only","Need backend Python SQL",0
"Python SQL backend only","Need frontend React UI",0
"Python ML and NLP","Need NLP ML engineer Python",1
"Python data science ML NLP","Need data scientist NLP ML",1
"Python deep learning CNN","Need CNN deep learning",1
"Python ML + deployment Streamlit","Need Streamlit deployment ML",1
"Python Git Docker deployment","Need DevOps Git Docker",1
"Python cybersecurity + networking","Need cybersecurity networking",1
"Python computer vision + ML","Need ML computer vision",1
"Python SQL + dashboards","Need analyst SQL dashboards",1
"Python Excel + Power BI","Need BI analyst Power BI Excel",1
"Python Spark + SQL","Need data engineer Spark SQL",1
"Python Django + AWS","Need Django AWS developer",1
"Python Flask + AWS","Need Flask AWS developer",1
"Python NLP + resume screening","Need resume screening system NLP",1
"HTML CSS JS beginner","Need NLP ML Python",0
"Java Spring beginner","Need advanced Spring developer",0
"Python ML beginner","Need ML engineer with deployment and tuning",0
